autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
BTGF,"Alvorada, RS","Nossa que lugar incrível... A união da mão de Deus e do Homem... É impressionante a grandeza desse lugar...Foi bem tranquila a descida... #soquenao... Dá um friozao na barriga... A estrada é bem estreita e recheada de curvas bem fechadas, não dá pra enxergar o que vem... Tem que ir com calma... E aproveitar bem a paisagem e o cheiro de ar puro... Experiência única! ",jul de 2017 • Casais,De tirar o fôlego!!!
ErikaMiyamoto,"Londrina, PR","Você vendo em fotos é bonita, mas ela é linda mesmo ao vivo. Os tons de verde, as sombras, as flores - até o caminho todo tortuoso é interessante. ",jul de 2017 • Família,Linda mesmo
Samanta Alves,"Imbituba, SC","A serra é fantástica, paisagens de tirar o fôlego assim como suas curvas. Alguns momentos da um certo medo, mas vale a pena enfrentar. Fizemos o trajeto de Lauro Müller a Bom Jardim, e ainda queremos fazer o inverso, também deve ser lindo descer a serra.",jun de 2017 • Casais,Dispensa comentários 
Andre Furtado,"Niterói, RJ","O ideal é chegar no mirante antes das 15:00 para pegar a serra com a luz do sol e tirar melhor as fotos, isso no inverno que foi quando viajamos para lá. Se você for optar entre subir ou descer, descer será a melhor opção pois dá pra ir descendo e curtindo o visual, muita gente sobe e desce no mesmo dia pois são apenas 14 Km. Nós subimos por Urubici e descemos para Floripa pela serra, vale a pena com certeza absoluta!",jul de 2017,"Serra ""Sui Generis""!"
NilloLluiz,"Timbó, SC","Imprescindível quem for para a Serra Catarinense, não pode deixar de visitar a esse fabuloso patrimônio de Santa Catarina, a sinuosa e espetacular Serra do Rio do Rastro. Subimos a serra e tivemos a sorte de ser 1 dia de céu aberto. É muito emocionante e adrenalina, suas curvas sinuosas e fechadas, ver os penhascos na lateral do seu carro e do outro lado paredões de pedras, sensação indescritível, experiência única só vivenciado.",jul de 2017 • Amigos,Deslumbante
rossana c,"Curitiba, PR","Nada dispensável. Maravilhosa. Fomos no sentido descida, um pouco mais dificl. Só paramos no mirante, onde há algumas lojas de artesanato, conveniência e cafés. Vista linda.",jul de 2017,Maravilhosa
Giuseppe M,"Olímpia, SP","Experiência única aos amantes das duas rodas, descer a serra do rio rastro é um desejo de todo motociclista, desci em um dia excelente com bom sol e meio ao frio da noite.",jul de 2017 • A sós,Magnifíca
Lucas Andrade,"Joinville, SC","A Serra do Rio do Rastro é facinante. Fui com minha família visitar Urubici e fizemos questão de desviar nossa rota e acrescentar pouco mais de 100km apenas para subí-la, e valeu muito a pena. As curvas estreitas, as faixas de rochas ao lado da rodovia e os precipícios, apesar de darem medo, são lindos. Com certeza vale a experiência, o próprio percurso da rodovia entre Lauro Muller e Bom Jardim da Serra já é a contemplação. As fotos ficaram incríveis!",jul de 2017 • Família,"Patrimônio de Santa Catarina, é incrível!"
gilvolpato,"Guaíba, RS","Embora o ponto mais alto da estrada conhecida como Serra do Rio do Rastro, a SC390, fique em Bom Jardim da Serra, apenas umas centenas de metros dela estão dentro das terras daquele município. Os aproximadamente 15 quilômetros restantes pertencem ao município de Lauro Muller. É a tal história, papagaio come milho e periquito leva a fama. O trecho, considerado por revistas internacionais como um dos cinco mais bonitos do mundo, foi apresentado ao mundo em comerciais de marcas como Renault e Hyundai e já recebeu até mesmo o ator inglês Ewan McGregor que filmou ali uma campanha para o perfume Adventure da Davidoff, além de ser local de diversos eventos esportivos, que incluem a marca Red Bull. A estrada é marcada por curvas fechadas e muitas vezes íngremes e é pontuada por cachoeiras. No topo dela há um centro turístico com lanchonetes, banheiros e um mirante a partir do qual se pode apreciar a incrível paisagem e fazer lindas fotografias. Com um pouco de sorte pode-se ver por ali exemplares da fauna característica, que inclui felinos de pequeno, médio e grande portes, diversos tipos de macacos, quatis, pacas, tatus e tamanduás, além de aves como tucanos, araras e papagaios. Para quem está passando as férias de verão no litoral catarinense a visita pode ser realizada partindo-se de Tubarão ou Criciúma e subindo a serra. Já quem está aproveitando o frio gostoso do inverno na serra catarinense, pode descê-la depois de partir de Urubici ou São Joaquim. Durante o inverno, evite percorrer o trajeto nos dias em que os meteorologistas anunciam a possibilidade de neve, períodos em que ocorrem longas filas e congestionamentos e a rodovia pode ser interditada devido ao gelo na pista. Visualmente é mais interessante descer a serra do que subí-la, porque o campo de visão é mais amplo e permite que se aprecie toda a extensão da cadeia de montanhas. Quem quer uma aventura mais completa, pode subir pela Serra do Corvo Branco (mais curta, mais rústica e naturalmente linda) e descer pela Serra do Rio do Rastro, numa volta de 210km ao redor do Parque Nacional de São Joaquim.",jan de 2017 • Família,Até o Ewan McGregor veio conhecer!
Rodrigo K,"Joinville, SC",Se você está na serra não pode deixar de visitar. A paisagem é linda e as curvas sinuosas são inesquecíveis. Programe para visitá-la em um dia ensolarado e com muito frio....,jul de 2017 • Amigos,Lugar Imperdível
MomessoBolinha,"São Caetano do Sul, SP","Imperdível. pesquise a previsão do tempo antes de realizar a subida, pois exige que o tempo esteja limpo. Aproveite cada segundo, eu subi marejando os olhos. Aproveite o tempo no mirante.",jul de 2017 • Família,Imperdível
Jader_Schuck,"Ibirubá, RS","Lugas maravilhoso, com uma vista fantástica. É um lugar que não se pode deixar de conhecer. Vale muito a pena fazer a descida da serra. É a estrada mais bonita do Brasil, sem dúvida alguma.",jul de 2017 • Casais,Lugar fantástico
Lu71boaro,"São Paulo, SP","Vale a pena a subida e descida na Serra do Rio do Rastro, por suas paisagens, curvas impressionantes, acentuadas. Apesar do tempo não ter ajudado muito nesse dia, ver o desenho de todas as curvas da Serra, cria uma paisagem super interessante.",jul de 2017 • Casais,Serra sinuosa de paisagem deslumbrante.
ana b,"Brasília, DF","A serra é maravilhosa de subir e descer, sempre parando nos inúmeros mirantes. Porém, exige paciência e cuidado porque as curvas são  muito fechadas e as vias estreitas. não tem espaço para ultrapassagem. ",jul de 2017 • Casais,LINDO!!
peterson_lopes,"Curitiba, PR",Provavelmente a estrada mais bonita do Brasil. Quando fomos estava tempo bom e tínhamos visibilidade de todo o vale. É impressionante! Vale a parada no mirante antes da descida. ,dez de 2016,Lugar incrível 
Greicearetusa,"Dois Irmãos, RS","Lugar simplesmente incrivel, mas não vá de Cambará do Sul para lá por São José dos Ausentes, o caminho é todo de estrada de chão e os 58 km de Cambará até São José dos Ausentes é terrível, depois até que melhora mas pra se ter idéia demoramos 3 horas pra andar  este trajeto e outras 3 para andar o restante que era o dobro de distancia.Pena os governantes locais não manterem as estradas em boas condições de trafegabilidade para carros de família.",jul de 2017 • Família,Lugar Inesquecível
Amanda L,"Eldorado do Sul, RS",Fiz o caminho de subida e de descida. Recomendo a subida é bem mais proveitoso. Paisagens impressionantes. Um show da natureza.,jul de 2017 • Família,Inesquecivel
Celso A,31 contribuições,A serra proporciona um visual deslumbrante do vale. Estrada estreita e curvas acentuadas fazem dessa serra algo único. Vale a pena conhecer!,jul de 2017 • Família,Muito interessante 
Thayana P,"Sul Brasil, SC",Lugar imperdível para quem está na serra.,ago de 2016 • Família,Descida inigualável
romania590,"Porto Alegre, RS","Beleza impar, vários caniôns, diferentes paisagens, a geada transformando a paisagem a cada amanhecer!!",jul de 2017 • Casais,Encanto
crisreif,"Blumenau, SC","Fui pela primeira vez agota nas férias e pretendo voltar. A paisagem é deslumbrante. Dica: Revise o carro, principalmente os pneus e freios. É bom ser um motorista com um pouco de experiência, pois as curvas são acentuadas e alguns motoristas  andam rápido, sem noção do perigo. Vale muitoooo a pena conhecer.",jul de 2017 • Família,Estrada estonteante
Jair G,"Brasília, DF",Um visual muito lindo. Algo de se admirar tanto no mirante quanto na descida. Uma obra de arte feita pelo homem e natureza. ,jul de 2017 • Casais,Muito lindo! 
Lfini,120 contribuições,Subida linda! Cachoeiras ao longo do paredão impressionante. Curvas surpreendentes. Vista deslumbrante.,jun de 2017,Imperdível
Richard Pinter,"Tubarão, SC","A subida é lenta e muito gostosa, podemos aproveitar cada vista, e o medida que vamos ainda mais para cima, mais linda a paisagem vai ficando. ",set de 2016 • Amigos,Maravilhoso 
julianapbk,"Varginha, MG","Natureza magnifica! Como foi feita, a ideia, a execução, a vista que se tem.. tudo incrível..",jul de 2017,Magnifica
Andréa Fáveri,23 contribuições,"É um lugar que todo mundo devia conhecer porque é a junção da criação de Deus e do homem.... quando você chega no mirante da Serra é que você vivência  suas aulas de geografia de quando criança... Sem contar que também vai acreditar no poder divino,  saja ele qual for... É simplesmente lindo... m",jul de 2017 • Família,Maravilha da natureza.. 
ThayRuan,8 contribuições,Lindo lugar vale muito a pena conhecer paisagens maravilhosas com pontos estratégicos para fotos Vale muito a viagem,jul de 2017 • Casais,Serra rio rastro
fernandodarci,"Tubarão, SC",Uma obra de engenharia em harmonia com a natureza. ,jul de 2017 • Família,Uma obra de engenharia em harmonia com a natureza 
Alan Dineli F,"Rio de Janeiro, RJ","Estrada muito linda, entranhada na serra, natureza exuberante por todos os lados, vale muito a pena a visita, imperdivél. ",jun de 2017 • Família,Estrada mais do que linda
Erika Brito A,"Recife, PE","Subimos a Serra do Rio do Rastro a caminho de Bom Jardim da Serra, nosso destino final, e o que posso dizer é que é emocionante e faz a adrenalina correr forte pelas nossas veias. A velocidade dos veículos é baixa e a atenção deve ser redobrada em cada curva, que são inúmeras, e atenção aos veículos maiores que podem estar fazendo manobras nas curvas, é preciso parar e esperar que a manobra seja finalizada para prosseguir.",jul de 2017 • Família,Emocionante
Elvi Mari M,21 contribuições,Lá estive por duas vezes seguidas: numa sexta-feira à noite e no domingo pela manhã . Cenário imperdível ! Sensação de estar no topo do mundo. Jamais me cansarei de lá voltar!,jul de 2017 • Amigos,No topo do mundo
Diego d,"São Paulo, São Paulo, Brazil",Estrada ímpar no Brasil e provavalmente no mundo. Todos os Brasileiros deveriam conhecê-la - é um lugar que você lembrará.,jun de 2017 • Casais,Estrada mais bonita que já passei
LaercioMS,"Botucatu, SP","A estrada é bem cuidada, porém muito sinuosa. É preciso dirigir com muita atenção e em baixa velocidade. A experiência é maravilhosa e a paisagem é muito bonita.",jul de 2017 • Família,Vale a pena a experiência
Fabi_Boff,"Criciúma, SC","Vá com calma para apreciar a  vista e parar em alguns dos vários mirantes antes de chegar ao topo... Sempre tem muita gente subindo de bike ou a  pé, trajeto com mais de 200 curvas...",jul de 2017 • Família,Passeio perfeito
ricardocassese,"Brasília, DF","Fascinante. A estrada é muito bonita, bem segura (desde que vá em baixa velocidade) e em cada curva você pode apreciar aquelas montanhas enormes. Foi o momento de ver como Deus eh grandioso.",jul de 2017 • Família,Paisagens de tirar o fôlego 
marlenecheccan,"Manaus, AM","Um passeio que vale muito a pena. Uma Serra com muitas curvas fechadas. Com lugares pra vc parar e apreciar a serra. Em uma das paradas, vários quatis vem a espera de um agradinho . Leve umas frutinhas para eles. Pois as pessoas dão salgadinhos, mas não é o ideal. Chegando no mirante é outro espetáculo. Muito vento frio. Tem restaurante, loja de lembrançinhas e banheiro que vc paga 1 real para usar.",jul de 2017 • Família,Serra Maravilhosa
Bis,"Rio Negrinho, SC",Descer a serra é ter o privilégio de ver uma vista encantadora e maravilhosa da natureza e suas belezas.,jun de 2017 • Família,Maravilhoso
Maria de Fátima Della Côrte,"Brasília, DF","Lugar belíssimo! Um vento congelante no mirante em Bom Jardim da Serra! Tem o Restaurante o Mensageiro da Montanha que é divino! O pastel de queijo é maravilhoso! Descer e subir a serra é imperdível! Só ressaltando que apenas pessoas seguras devem estar ao volante, pois as curvas não são para amadores do volante.",jul de 2017 • Família,Serra belíssima e emocionante
Carlos Santana,"Florianópolis, SC",Lugar mágico. Estrada com várias curvas. Bem sinalizada. Vários mirantes com uma vista maravilhosa. Recomendo a visita.,jul de 2017 • Casais,lugar único
Luizssa,"Lauro de Freitas, BA","Se gosta de moto, um dia faça esta viagem realmente vale a pena é emoção a cada curva, melhor ainda se for a noite ",jun de 2017 • Amigos,Vá de moto
ligia m,"Curitiba, PR","foi a terceira vez que estive na Serra do Rio do Rastro, e em todas peguei tempo bom.  Sei de pessoas que já foram várias vezes e não conseguiram ver nada por causa da neblina.  a beleza do local não cansa.  Pense num lugar maravilhoso é lá.",mai de 2017,magnifica
Rodrigo H,26 contribuições,"A Serra do Rio do Rastro é fascinante, muitas curvas, o modo como foi construída, as luzes durante a noite, o passeio vale muito a pena!",jun de 2017 • Amigos,A estrada mais fascinante do Brasil!
Ivan M,"Campinas, SP",Pra quem gosta de uma pela paisagem e curte o prazer de dirigir é o melhor lugar do Brasil !,jun de 2017 • Amigos,Lindíssima !
Rui Carlos D,737 contribuições,"Com pouco mais de 14 kms, a SC-390 vai serpenteando e escalando o paredão da Serra do Rio do Rastro até chegar no topo, no mirante dessa serra, a 1.421 m.a.n.m., numa escalada vertiginosa nos seus últimos 5 kms, que a torna linda e majestosa, um dos trejos rodoviários mais desejados de se rodar, principalmente por motociclistas.  Do mirante a visão é simplesmente espetacular.  Vale à pena visitar esse lugar.",jun de 2017 • Amigos,Impressionante
BDalbem,"Curitiba, PR","A cada curva uma nova paisagem linda! A estrada é boa, bem sinalizada e florida! Tem varios mirantrs durante o percurso para parar o carro e tirar fotos.",jun de 2017 • Casais,Muito linda!
Gilberto Vargas,"Florianópolis, SC","Subir ou descer? Experiências bem diferentes, só se assemelham quando paramos nos mirantes. Um mistura de encantar os destemidos com vento, neblina, brilhos, sombras, silêncio, mini cachoeiras nos paredões, vistas belíssimas de outras montanhas, mar longínquo, paz, os roncos dos motores, o cheiro dos discos de embreagem e freios misturados com o ar da mata é coisa inesquecível. Agora com mais os valentes ciclistas que em pequenos grupos dividem a estreita pista com coragem e precisão. Vale a pena esta passagem pelas montanhas tendo uma mostra das viagens dos tropeiros e mercadores dos tempos das carroças e mulas de carga. Não percam.",mai de 2017 • Casais,Zig Zag Espetacular
André Benedet Zilli,"Criciúma, SC","Uma das estradas mais belas do mundo. A estrada liga o litoral sul catarinense (Lauro Müller) à serra catarinense (Bom Jardim da Serra), através de diversas curvas de 180 graus encravadas na encosta da Serra Geral. A serra, durante a noite, é toda iluminada, tornando-a ainda mais charmosa. Há vários pontos de parada durante subida/descida, para estacionar e apreciar o fotografar a belíssima paisagem. Do alto da serra, em um dia limpo, é possível ver o mar. Enfim, é um cartão-postal.",fev de 2017 • Amigos,Lugar espetacular
Eduardot80,"Florianópolis, SC","Impressionante estrada que sobe um paredão praticamente impossível. Estrada estreita, exige muita atenção",jun de 2017 • Casais,Impressionante
Diogo L,20 contribuições,Na minha opinião é o melhor lugar do mundo para passear de moto,jun de 2017 • Amigos,Passeio de Moto
DenilsonGonzales,"Itajaí, SC","Esta não foi a 1º vez que desci, mas da minha mãe sim. Morria de medo qdo falava, mas enfim, consegui convencer. Algumas curvas vc precisar segurar qdo tiver um caminhão ao contrário, mas mt tranquilo se vc tiver descendo c/ intuito de apreciar, no meu caso, que desci c/ a marcha na segunda. Tbm encontrei muitos ciclistas, o que achei bacana. Não deixe de parar em nela, há pontos específicos pra isto, onde vc contempla a bela vista e boas fotos.",jun de 2017 • Família,Sem palavras.
Jessivane S,Estado de São Paulo,"Apesar do medo , por causa dos tipos de veiculos (caminhões) que ali circulam, vale a pena a experiencia.",jun de 2017,UMA EXPERIENCIA UNICA...
Vida Simples,"Joinville, SC","Obra da natureza que é possível ver de perto em razão da engenharia, que construiu uma estrada que permite atravessar a tão famosa Serra do Rio do Rastro. Esta é uma atração que deve ser visitada, pois é uma das estradas com destaque mundial. Ao subir ou descer de carro ou moto, recomendo cuidado e cautela na velocidade porque há grupos de ciclistas que transitam no local (principalmente aos finais de semana). Quando você estiver subindo e estiver seguindo algum caminhão, a minha dica é parar em alguma das áreas de escape da estrada e deixar o caminhão se distanciar, pois eles têm muita dificuldade ao fazer as curvas, fazendo o trânsito na estrada parar.",jun de 2017 • Família,Imperdível!!!
Flávia F,127 contribuições,"Lugar maravilhoso! Passeio de férias. Visual incrível, recomendo pra quem tiver a oportunidade é uma experiencia incrível.",mar de 2017 • Casais,Recomendo
karneyro,"Brasília, DF","Fazer a subida da Serra é uma sensação única.. o visual é incrivel. A cada curva uma nova paisagem. É necessário dirigir com cuidado, pois a pista é estreita e muito movimentada.. Vale muito a pena... indico.",jun de 2017 • Casais,Coisa de Outro Mundo!!!
deboraparaizo,"Curitiba, PR","Pegamos um dia lindo de sol, e amamos a paisagem! A natureza bem preservada com uma vista incrível. Valeu a pena o passeio.",jun de 2017 • Casais,Muito lindo!
DanielBiologoCosta,"Florianópolis, SC","Mais uma vez passei pela Serra do Rio do Rastro, apenas para contemplar o visual. Devemos descer ou subir devagar, para segurança e poder observar a beleza da Serra!",jun de 2017 • Casais,Passeio
Augusto A,"Painel, SC","uma das grandes maravilhas do Brasil, a serra liga os municípios de Bom Jardim da Serra , no alto da serra catarinense ao município de Lauro Müller na parte de baixo da serra. São 12 KM de maravilhosas paisagens e frio na barriga pelas belas curvas da serra, vale a pena o passeio.",mai de 2017 • Família,uma das grandes maravilhas do Brasil
Jésica Antunes,"Tubarão, SC","Paisagens maravilhosas com acesso asfaltado liga o Sul de SC a Serra Catarinense, um espetáculo congelado no inverno e uma excelente opção também para o Verão, quem vai a Santa Catarina precisa conhecer essa beleza natural.",mai de 2017 • Família,Maravilhoso
robdoc1967,"São Bernardo do Campo, SP",Vale muito a visita!,jun de 2017 • Amigos,Visual incrivel
fjf1969,"São Bernardo do Campo, SP",Curvas de tira o fôlego de qualquer motociclista como eu com lindas vistas de toda a serra. Tivemos sorte pois o dia estava ensolarado,jun de 2017 • Amigos,deslumbrante
Lucia G,"Florianópolis, SC","A estrada é linda, panorâmica, porém está mal conservada com rachaduras, muitas curvas sinuosas, há de ter cautela na direção durante o trajeto, há um mirante onde se pode parar e apreciar a paisagem e registrar lindas fotos.",out de 2016 • Amigos,Serra do rio do Rastro é magnifíca.
Alline S,"Cidade do Panamá, Panamá","Só faça se o tempo estiver bom! Em varios momentos tivemos que parar para dois caminhoes que estavam em sentido contrario se ""resolverem"". Pare nos pontos de vista durante a subida, tem paisagens lindas! E quando terminar, da para entrar a esquerda no parque eolico e conhecer o canion do ronda. Depois siga ate o mirante! A vista é incrivel!",jun de 2017,Lindo!
matheusespindula,"Laguna, SC","Local encantador, com uma vista para a natureza. Bela paisagem, local para lindas fotos e momentos de boas recordações.",jun de 2017 • Casais,Local Maravilhoso
Anamariaschneider,70 contribuições,"Amamos o passeio! E lindo, vista incrível, acesso para sair do carro e tirar foto!! Amei! Lindo de mais ",jun de 2017,Maravilhoso 
sgaria,"Florianópolis, SC","Saímos de Florianópolis às 7 da manhã e chegamos próximo às 11hs..por ser um domingo de sol e frio, a estrada estava bem cheia.. é preciso paciência e bastante  habilidade do motorista. E o carona tem que estar atento para registrar a subida,são 12km de paisagem deslumbrante. Junto ao mirante,bem no topo do percurso, há um café/restaurante muito bom e com atendimento ótimo. É possível fazer um bate-volta, mas optamos por conhecer o Canion da Ronda, São Joaquim e Urubici (onde pernoitamos) e o morro da igreja. Tivemos muita sorte nos dois dias estava frio e ensolarado..com uma visibilidade perfeita. ",jun de 2017 • Casais,Passeio maravilhoso!!
Andréia B,"Goiânia, GO",A região mais linda do país. A serra é de tirar o fôlego e totalmente preservada. Vale cada centavo gasto para chegar lá.,jun de 2017 • Família,Serra do meu coração.
Rafael D,7 contribuições,"visual dessa serra é incrível , o dia estava lindo, sem neblina,  porem com um pouco de vento, mas o passeio é otimo",jun de 2017 • Família,visual incrível 
Claudete V,"Birigüi, SP","Lugar imperdível para se conhecer . Depois de se ver a serra pelo Mirante, descer por ela até Lauro Muller para contemplar a natureza pelas 284 curvas em 12 km de serra, espetacular . ",mai de 2017 • Casais,Maravilhosa 
Douglas Schütz,232 contribuições,"Pra quem curte rodar é um prato cheio! Longa e cheia de curvas,  um visual de tirar o fôlego,  pra quem tem medo de altura é fogo, pois você estará ao lado do abismo enquanto sobe (ou desce)! Pouco antes de chegar na serra pra quem desce ou um pouco depois pra quem sobe, há um trecho em obras mau sinalizado,  cheio de pedriscos soltos, que dependendo da velocidade podem causar um belo tombo, mas já faz dois meses que fui então deve estar melhor agora. É numa estrada excelente poucos buracos o que confere uma excelente viagem!",mar de 2017 • Amigos,Obrigatório para motociclistas
Jefferson C M,"Itapema, SC"," Vá! Percorra uma estrada de tirar o fôlego com um visual que a cada curva irá te surpreender. Quase não há riscos, não precisa ter medo. Vá!",set de 2016 • Casais,Fantástica!
Dionei Ramos do Amaral,"Guarapuava, PR",Pense em um lugar que você voltaria a qualquer tempo....este é um dos lugares que eu voltaria. Beleza cênica impressionante. ,jul de 2016 • Casais,Linda Serra
Alex P,"Curitiba, PR",Não deixe de visitar este lindo lugar com estradas sinuosas e lindas. No inverno deve ser muito mais bonita.,nov de 2016 • Casais,LINDA SERRA CATARINENSE
EBissolotti,"Esteio, RS",Uma obra de engenharia incrível em um local de natureza muito bela. Vale cada quilômetro rodado de onde você vier até está estrada. Prefiro a subida!,dez de 2016 • Amigos,Natureza e Engenharia 
Suzana Brochado,"Porto Alegre, RS","Lugar maravilhoso, entretanto nem sempre está aberto. A serra é perigosa mas muito linda. Os quatis e suas famílias visitam as pessoas no mirante",jun de 2017 • Amigos,Visitar a serra mais linda de Santa Catarina
Jrscandolara,"Praia Grande, SC","Destino ótimo para o inverno, serra é fantástica, com vistas e locais de tirar o folego, em alguns lugares se torna até perigoso.",nov de 2016 • Amigos,Viagem que vale a pena
greleskovar,"São Paulo, SP","Do visual do mirante, ao nascer do sol, da experiência acima das nuvens, aos quatis que chegam em massa pra pedir comida, a experiência é tudo o que vc precisa, se a proposta é se deslumbrar!!",jun de 2017 • Casais,De cair o queixo 
Waldemar A,19 contribuições,Ótima opção de passeio. A serra é bem cuidada e deslumbrante. Não é a toa que é um dos dez melhores destinos para visitar no mundo!,jun de 2017 • Casais,Linda
Luana M,"Joinville, SC","O lugar é maravilhoso para quem curte a natureza, a paisagem é encantadora...",abr de 2017 • Casais,"Serra do Rio do rastro, lindo lugar!"
Paulo P,"Campinas, SP","A serra tem numerosos cânions e encostas bastante íngremes, coberta por bela floresta, úmida e sempre verde. Pode ser visitada em diferentes pontos, especialmente o mirante e a rodovia bastante sinuosa, que ladeia as encostas. ",jul de 2016 • Família,Belíssima! Vale a visita! Dá para visitar de carro.
Maria Solange O,"Farroupilha, RS","A estrada é estreita, cheia de curvas sinuosas que proporcionam um visual encantador.",mai de 2017 • Família,Curvas perigosas!
jacintajuliao,"Belo Horizonte, MG","Superou minhas expectativas. Vale a subida e a descida. Rochas serpenteantes, vegetação abundante e emoção em cada curva.",mai de 2017 • Família,Lugar maravilhoso
Debora P,22 contribuições,"Local lindo para fazer passeio com a família, possui restaurantes próximo, local possui banheiro, não recomendo em ir em dias chuvosos!",abr de 2017 • Casais,Passeio inesquecível 
Emanuelle S,"Criciúma, Santa Catarina, Brazil","A natureza é incrível, o ar é fresco e a vista é um presente!. Existem várias cascatas ao longo da serra, se der sorte e pegar um dia de bastante volume de água é possível ver muitas. ",mai de 2017 • Casais,Linda
330Fabiana,"Campinas, SP","Sempre uma delícia visitar a serra do Rio do Rastro para ver suas magníficas vistas, seja em qualquer estaçao do ano. Sempre um prazer.",mai de 2017 • Casais,Serra
FernandoBristot,"Brasília, DF","Passeio nota 1000, imperdível, paisagem linda, local muito bonito e diferente. Não se pode esquecer de ter todo cuidado do mundo ao dirigir, e saber q muitas curvas os caminhões tem que invadir a pista contrária para poder passar.",jun de 2016 • Casais,"Imperdível, só o motorista que tem que dar muita atenção a estrada!"
Ricardo_Czap,"Curitiba, PR","Você passar nela, porém se prepare para passar de dia e passar a noite também, pois são espetáculos diferentes.",jun de 2016 • Família,Espetacular
DaniellaL1110,"Santo André, SP","Que estrada magnifica! Confesso que senti um pouco de medo. Mas quando chegamos no mirante, foi compensador. Um dos lugares mais incríveis que já fui.",abr de 2017 • Casais,Inesquecível
Nilza M,26 contribuições,"É dificil de descrever tamanha beleza a natureza na sua prenitude, lugar cheio lojas de lembrancinhas cheias Banheiros precários quatis sendo alimentados pelos turistas, cuidado com as crianças eles vem e pegam o que se ta comendo, do pouco momento em que a neblina deixou vimos a beleza da serra do rio do rastro, vale apena visitar e contenplar tamanha beleza local gelado leve casacos os barzinhos são cheios o atendimento fica á desejar mas deu pra tomar um chocolate quente.Visite vale apena lugar unico.",jul de 2016 • Família,È de tirar o folego de tão lindo o mirante que vimos a serra
AdrianoMatos,"Pouso Alegre, MG","Foi uma incrível surpresa. Uma estrada fantástica em todos os sentidos, beleza, engenharia, mas bem perigosa, pois o tráfego é intenso de caminhões. Existem lugares pra pó arar e contemplar a magnífica paisagem.",mai de 2017 • Casais,Sensacional! Exuberante!
MisterMJ007,"Blumenau, SC","Obra da natureza, feita por Deus, não tem como avaliar com outra nota. Paisagens lindas, vistas maravilhosas, estrada charmosa. Imperdível.",mai de 2017 • Família,Encantador
Kashivai,"Florianópolis, SC","Quem curte montanha, tem que conhecer. Ótimo para conhecer de carro, moto ou bike. Para quem gosta de emoção, o passeio de moto é o mais recomendado. Vale a pena.",mai de 2017 • Amigos,Beleza em curvas
jonasschmidt2016,"Jaraguá do Sul, Brasil","Uma maravilha de engenharia. Estrada sinuosa, encantadora e que te faz perder o folego pelas belezas naturais e por seu desenho cortando a mata.",abr de 2017 • Amigos,Serra do Rio da Rastro
JrPillati,"São Paulo, SP","Apesar de todas as curvas, adorei dirigir nessa Serra. O visual faz valer cada minuto, até é complicado para o motorista dirigir porque esquecemos de olhar a estrada. Felizmente, quando fomos não tinha tanto movimento.",mar de 2017 • Amigos,Imperdível
Alexandre,"Porto Alegre, RS","Subindo ou descendo as mais de 250 curvas da estrada que leva a serra, a vista é de tirar o folego, recomendo a todos uma vez na vida fazer este trajeto. Muita gente de moto e bike.",abr de 2017 • Família,Vista espetacular!
JaimeBruxel,"Porto Alegre, RS","Fomos dia 29 de abril no melhor horário, entre meio dia e 13hs, dia ensolarado, perfeito para contemplar a belíssima paisagem. A subida foi um pouco tensa, pois apesar de não haver muito tráfego, o trânsito estava quase parado em razão de ônibus e caminhões descendo a serra. Compensou pela paisagem.",abr de 2017 • Amigos,Visual belíssimo
Gislayne A,"Joinville, SC",Ótimo passeio. Não aconselho ir em dia de chuva ou neve. É preciso cautela na direção mas existem muitas paradas que rendem boas fotos.,mai de 2017 • Casais,Muito legal!
timahoff,"Blumenau, SC","Ótimo lugar para visitar, a vista é muito melhor descendo a serra. Tem diversos mirantes ao longo da serra que dá para parar e olhar a vista.",abr de 2017 • Família,Ótimo passeio
PathiePereira,"Itajaí, SC","Visual incrível, vale muito a pena.",abr de 2017,Lindo!!
Mary Pinheiro,"Brasília, DF","Fomos no dia 1 de maio feriado, pegamos muito trânsito, tinha caminhões descendo a serra que atrapalhava muito o tráfego, em dias de feriado deveria ser proibido caminhões porque o movimento é gigantesco. Mas a serra é linda, vale muito a pena passar por lá e tem restaurante no meio da serra e no topo também.",mai de 2017 • Casais,Passeio na serra 
Mario F,"São Paulo, SP","Se viajar do litoral sul do estado ou região de Criciúma para a Serra Catarinense, não deixe de ir pela Serra do Rio do Rastro. O caminho é espetacular, tem paisagens de tirar o fôlego e cachoeiras ao longo da pista. No trecho mais íngreme, são 8km de curvas bem fechadas, algumas com quase 180 graus, mas a estrada me pareceu bem segura - bastante sinalizada e os veículos andam bem devagar.",mai de 2017 • Casais,Espetacular 
Talita G,"São José dos Campos, SP","Realmente é a serra mais bonita do mundo !! Mas confesso que senti um pouco de medo, não existe acostamento, e sendo via de mão dupla, há transito nos dois sentidos e muita bicicleta e pessoas subindo a pé. Eu não iria novamente, mas vale a pena conhecer",mai de 2017 • Casais,Maravilhoso
Catia C,113 contribuições,"A estrada é repleta de curvas bem fechadas, uma aventura! É aconselhável descer a serra, de modo a melhor aproveitar a vista! Há ciclistas, motoqueiros e carros de passeio! Muitas famílias aproveitam esse passeio! A estrada está bem conservada e sinalizada!",abr de 2017 • Amigos,Tirar o fôlego
